;Тип товара;Полное наименование;МНН;Лекарственная форма;Бренд;Фирма_производитель;Корпорация;Фармакотерапевтическая группа;АТС1;АТС2;АТС3;АТС4;АТС5;Ephmra1;Ephmra2;Ephmra3;Ephmra4;Год;Месяц;Объем1;Объем2;Объем3;Цена;Свыше_1500;размер_500до1500;до_500
1357;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2023;12;5803520.0;5443.0;5504617.0;1011.3204115377549;недостаток;входит;избыток
1358;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2023;7;4359250.0;4319.0;4170688.0;965.6605695762908;недостаток;входит;избыток
1359;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2022;12;4777284.0;5672.0;4552313.0;802.5939703808181;недостаток;входит;избыток
1360;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2018;5;9393035.0;10013.0;9089000.0;907.7199640467393;недостаток;входит;избыток
1381;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2021;12;4290318.0;9824.0;4276665.0;435.3282776872964;недостаток;недостаток;входит
1405;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;БИННОФЕРОН АЛЬФА РАСТ Д/В/В И П/К ВВЕД 3 МЛН.МЕ 0,9 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ;БИННОФЕРОН АЛЬФА;БИННОФАРМ ГРУПП;БИННОФАРМ ГРУПП;ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2023;5;4910146.0;5111.0;4910146.0;960.7016239483467;недостаток;входит;избыток
1409;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №1;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2018;2;599380.0;2311.0;595573.0;257.71224578104716;недостаток;недостаток;входит
1412;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №1;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2019;12;278798.0;1038.0;277828.0;267.65703275529864;недостаток;недостаток;входит
1421;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;РЕАФЕРОН-ЕС ЛИОФ Д/ПРИГ-Я РАСТ Д/В/М И МЕСТ ПРИМ-Я 1 МЛН.МЕ №10;ИНТЕРФЕРОН АЛЬФА-2B;ЛИОФИЛИЗАТ ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ВНУТРИМЫШЕЧНОГО И МЕСТНОГО ПРИМЕНЕНИЯ;РЕАФЕРОН;ВЕКТОР-МЕДИКА АО;ВЕКТОР-МЕДИКА АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2018;8;882684.0;1090.0;882230.0;809.3853211009174;недостаток;входит;избыток
1424;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №1;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2020;3;452295.0;1926.0;449910.0;233.5981308411215;недостаток;недостаток;входит
1428;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 0,5 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2018;7;8942701.0;8698.0;8942701.0;1028.133019084847;недостаток;входит;избыток
1442;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №1;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2020;5;1726110.0;1958.0;1717424.0;877.1317671092952;недостаток;входит;избыток
1457;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №1;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2019;4;370734.0;1368.0;370022.0;270.483918128655;недостаток;недостаток;входит
1458;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №1;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2019;11;317157.0;1116.0;315796.0;282.97132616487454;недостаток;недостаток;входит
1461;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 3 МЛН.МЕ 1 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2018;10;9109858.0;12301.0;8925635.0;725.6023900495894;недостаток;входит;избыток
1478;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 1 МЛН.МЕ 1 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2020;12;1568731.0;1411.0;1568289.0;1111.4734231041814;недостаток;входит;избыток
1489;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;АЛЬТЕВИР РАСТ Д/И 1 МЛН.МЕ 1 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ИНЪЕКЦИЙ;АЛЬТЕВИР;ФАРМАПАРК ООО;ФАРМСТАНДАРТ АО;МИБП - ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2019;10;392338.0;1062.0;392338.0;369.4331450094162;недостаток;недостаток;входит
1502;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;БИННОФЕРОН АЛЬФА РАСТ Д/В/В И П/К ВВЕД 3 МЛН.МЕ 0,9 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ;БИННОФЕРОН АЛЬФА;БИННОФАРМ ГРУПП;БИННОФАРМ ГРУПП;ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2023;3;3607436.0;3912.0;3607436.0;922.1462167689161;недостаток;входит;избыток
1503;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;БИННОФЕРОН АЛЬФА РАСТ Д/В/В И П/К ВВЕД 3 МЛН.МЕ 0,9 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ;БИННОФЕРОН АЛЬФА;БИННОФАРМ ГРУПП;БИННОФАРМ ГРУПП;ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2023;8;2694404.0;2604.0;2694404.0;1034.7173579109062;недостаток;входит;избыток
1504;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;БИННОФЕРОН АЛЬФА РАСТ Д/В/В И П/К ВВЕД 3 МЛН.МЕ 0,9 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ;БИННОФЕРОН АЛЬФА;БИННОФАРМ ГРУПП;БИННОФАРМ ГРУПП;ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2023;12;2961284.0;2974.0;2961284.0;995.724277067922;недостаток;входит;избыток
1506;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;БИННОФЕРОН АЛЬФА РАСТ Д/В/В И П/К ВВЕД 3 МЛН.МЕ 0,9 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ;БИННОФЕРОН АЛЬФА;БИННОФАРМ ГРУПП;БИННОФАРМ ГРУПП;ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2022;8;2375962.0;2748.0;2375962.0;864.6149927219797;недостаток;входит;избыток
1507;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;БИННОФЕРОН АЛЬФА РАСТ Д/В/В И П/К ВВЕД 3 МЛН.МЕ 0,9 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ;БИННОФЕРОН АЛЬФА;БИННОФАРМ ГРУПП;БИННОФАРМ ГРУПП;ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2023;11;1406773.0;1074.0;1406773.0;1309.844506517691;недостаток;входит;избыток
1508;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;БИННОФЕРОН АЛЬФА РАСТ Д/В/В И П/К ВВЕД 3 МЛН.МЕ 0,9 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ;БИННОФЕРОН АЛЬФА;БИННОФАРМ ГРУПП;БИННОФАРМ ГРУПП;ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2022;7;1565222.0;1755.0;1565222.0;891.8643874643875;недостаток;входит;избыток
1510;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;БИННОФЕРОН АЛЬФА РАСТ Д/В/В И П/К ВВЕД 3 МЛН.МЕ 0,9 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ;БИННОФЕРОН АЛЬФА;БИННОФАРМ ГРУПП;БИННОФАРМ ГРУПП;ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2022;11;1797222.0;1728.0;1797222.0;1040.0590277777778;недостаток;входит;избыток
1511;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;БИННОФЕРОН АЛЬФА РАСТ Д/В/В И П/К ВВЕД 3 МЛН.МЕ 0,9 МЛ №5;ИНТЕРФЕРОН АЛЬФА-2B;РАСТВОР ДЛЯ ВНУТРИВЕННОГО И ПОДКОЖНОГО ВВЕДЕНИЯ;БИННОФЕРОН АЛЬФА;БИННОФАРМ ГРУПП;БИННОФАРМ ГРУПП;ЦИТОКИН;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИНТЕРФЕРОНЫ (L03AB);ИНТЕРФЕРОН АЛЬФА2B (L03AB05);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИНТЕРФЕРОНЫ (L03B);ИНТЕРФЕРОНЫ, АЛЬФА (L03B1);2023;6;4208125.0;4349.0;4208125.0;967.6074959760865;недостаток;входит;избыток
